# @echo "cylinder not seen" 
# @./minirt test/cylinder/test_input_one_cylinder_1_not_seen.rt 
cylinder seen from outside
dist infinite: 236.161554 | t->dist_cap: 200.156355 | clang!
dist infinite: 236.161554 | t->dist_cap: 200.156355 | clang!
dist infinite: 248.536535 | t->dist_cap: 200.117124 | clang!
dist infinite: 248.536535 | t->dist_cap: 200.117124 | clang!
dist infinite: 261.783289 | t->dist_cap: 200.081156 | clang!
dist infinite: 261.783289 | t->dist_cap: 200.081156 | clang!
dist infinite: 275.873837 | t->dist_cap: 200.048451 | clang!
dist infinite: 275.873837 | t->dist_cap: 200.048451 | clang!
dist infinite: 290.722366 | t->dist_cap: 200.019013 | clang!
dist infinite: 290.722366 | t->dist_cap: 200.019013 | clang!
dist infinite: 306.159784 | t->dist_cap: 199.992842 | clang!
dist infinite: 306.159784 | t->dist_cap: 199.992842 | clang!
dist infinite: 321.904062 | t->dist_cap: 199.969939 | clang!
dist infinite: 321.904062 | t->dist_cap: 199.969939 | clang!
dist infinite: 337.531021 | t->dist_cap: 199.950306 | clang!
dist infinite: 337.531021 | t->dist_cap: 199.950306 | clang!
dist infinite: 352.455279 | t->dist_cap: 199.933944 | clang!
dist infinite: 352.455279 | t->dist_cap: 199.933944 | clang!
dist infinite: 365.936746 | t->dist_cap: 199.920853 | clang!
dist infinite: 365.936746 | t->dist_cap: 199.920853 | clang!
dist infinite: 377.130522 | t->dist_cap: 199.911034 | clang!
dist infinite: 377.130522 | t->dist_cap: 199.911034 | clang!
dist infinite: 385.191072 | t->dist_cap: 199.904488 | clang!
dist infinite: 385.191072 | t->dist_cap: 199.904488 | clang!
dist infinite: 389.420408 | t->dist_cap: 199.901215 | clang!
dist infinite: 389.420408 | t->dist_cap: 199.901215 | clang!
dist infinite: 389.420408 | t->dist_cap: 199.901215 | clang!
dist infinite: 389.420408 | t->dist_cap: 199.901215 | clang!
dist infinite: 385.191072 | t->dist_cap: 199.904488 | clang!
dist infinite: 385.191072 | t->dist_cap: 199.904488 | clang!
dist infinite: 377.130522 | t->dist_cap: 199.911034 | clang!
dist infinite: 377.130522 | t->dist_cap: 199.911034 | clang!
dist infinite: 365.936746 | t->dist_cap: 199.920853 | clang!
dist infinite: 365.936746 | t->dist_cap: 199.920853 | clang!
dist infinite: 352.455279 | t->dist_cap: 199.933944 | clang!
dist infinite: 352.455279 | t->dist_cap: 199.933944 | clang!
dist infinite: 337.531021 | t->dist_cap: 199.950306 | clang!
dist infinite: 337.531021 | t->dist_cap: 199.950306 | clang!
dist infinite: 321.904062 | t->dist_cap: 199.969939 | clang!
dist infinite: 321.904062 | t->dist_cap: 199.969939 | clang!
dist infinite: 306.159784 | t->dist_cap: 199.992842 | clang!
dist infinite: 306.159784 | t->dist_cap: 199.992842 | clang!
